"codigo_parroquia";"nombre_parroquia";"Canton_codigo_canton"
190651;"EL GUISME";1906
190652;"PACHICUTZA";1906
190653;"TUNDAYME";1906
190750;"ZUMBI";1907
190752;"TRIUNFO-DORADO";1907
190753;"PANGUINTZA";1907
190850;"PALANDA";1908
190852;"SAN FRANCISCO DEL VERGEL";1908
190853;"VALLADOLID";1908
190854;"LA CANELA";1908
190950;"PAQUISHA";1909
190951;"BELLAVISTA";1909
190952;"NUEVO QUITO";1909
200150;"PUERTO BAQUERIZO MORENO";2001
200151;"EL PROGRESO";2001
200250;"PUERTO VILLAMIL";2002
200251;"TOMAS DE BERLANGA (SANTO TOMAS)";2002
200350;"PUERTO AYORA";2003
200351;"BELLAVISTA";2003
200352;"SANTA ROSA";2003
210150;"NUEVA LOJA";2101
210152;"DURENO";2101
210153;"GENERAL FARFAN";2101
210155;"EL ENO";2101
210156;"PACAYACU";2101
210157;"JAMBELI";2101
210158;"SANTA CECILIA";2101
210160;"10 DE AGOSTO";2101
210250;"LUMBAQUI";2102
210251;"EL REVENTADOR";2102
210252;"GONZALO PIZARRO";2102
210350;"PUERTO EL CARMEN DEL PUTUMAYO";2103
210351;"PALMA ROJA";2103
210352;"PUERTO BOLIVAR (PUERTO MONTUFAR)";2103
210450;"SHUSHUFINDI";2104
210451;"LIMONCOCHA";2104
210452;"PANCOCHA";2104
210453;"SAN ROQUE (CAB. EN SAN VICENTE)";2104
210454;"SAN PEDRO DE LOS COFANES";2104
210455;"SIETE DE JULIO";2104
210550;"LA BONITA";2105
210554;"SANTA BARBARA";2105
210650;"EL DORADO DE CASCALES";2106
210651;"SANTA ROSA DE SUCUMBIOS";2106
210652;"SEVILLA";2106
210750;"TARAPOA";2107
210752;"AGUAS NEGRAS";2107
220150;"PUERTO FRANCISCO DE ORELLANA (EL COCA)";2201
220151;"DAYUMA";2201
220152;"TARACOA (NUEVA ESPERANZA: YUCA)";2201
220153;"ALEJANDRO LABAKA";2201
220154;"EL DORADO";2201
220156;"GARCIA MORENO";2201
220157;"INES ARANGO (CAB. EN WESTERN)";2201
220158;"LA BELLEZA";2201
220159;"NUEVO PARAISO (CAB. EN UNION )";2201
220160;"SAN JOSE DE GUAYUSA";2201
220161;"SAN LUIS DE ARMENIA";2201
220250;"NUEVO ROCAFUERTE";2202
220252;"CONONACO";2202
220254;"TIPUTINI";2202
220350;"LA JOYA DE LOS SACHAS";2203
220351;"ENOKANQUI";2203
220352;"POMPEYA";2203
220353;"SAN CARLOS";2203
220354;"SAN SEBASTIAN DEL COCA";2203
220355;"LAGO SAN PEDRO";2203
220356;"RUMIPAMBA";2203
220357;"TRES DE NOVIEMBRE";2203
220358;"UNION MILAGREN";2203
220450;"LORETO";2204
220451;"AVILA (CAB. EN HUIRUNO)";2204
220452;"PUERTO MURIALDO";2204
220453;"SAN JOSE DE PAYAMINO";2204
220454;"SAN JOSE DE DAHUANO";2204
220455;"SAN VICENTE DE HUATICOCHA";2204
240150;"SANTA ELENA";2401
240151;"ATAHUALPA";2401
240152;"COLONCHE";2401
240153;"CHANDUY";2401
240154;"MANGLARALTO";2401
240156;"SAN JOSE DE ANCON";2401
240250;"LA LIBERTAD";2402
240350;"SALINAS";2403
240351;"ANCONCITO";2403
240352;"JOSE LUIS TAMAYO (MUEY)";2403
900451;"EL PIEDRERO";9004
